source,target,label,weight,id
user_90,movie_197,5,1.0,9237
user_321,movie_474,4,0.8,9258
user_313,movie_100,5,1.0,9323
user_163,movie_64,4,0.8,9394
user_60,movie_480,4,0.8,9432
user_6,movie_484,5,1.0,9487
user_360,movie_134,5,1.0,9552
user_263,movie_318,5,1.0,9563
user_318,movie_12,4,0.8,9584
user_328,movie_483,5,1.0,9587
user_6,movie_199,4,0.8,9622
user_263,movie_134,5,1.0,9739
user_90,movie_100,5,1.0,9743
user_65,movie_661,4,0.8,9826
user_321,movie_124,3,0.6,9878
user_13,movie_124,5,1.0,9900
user_6,movie_197,5,1.0,9916
user_316,movie_197,4,0.8,9990
user_90,movie_190,5,1.0,10000
user_87,movie_318,4,0.8,10074
user_328,movie_661,5,1.0,10100
user_106,movie_285,4,0.8,10124
user_237,movie_479,5,1.0,10155
user_343,movie_483,5,1.0,10172
user_144,movie_480,4,0.8,10251
user_7,movie_498,5,1.0,10438
user_312,movie_483,5,1.0,10452
user_271,movie_318,5,1.0,10502
user_392,movie_178,5,1.0,10507
user_296,movie_484,4,0.8,10577
user_158,movie_50,4,0.8,10589
user_316,movie_64,4,0.8,10693
user_234,movie_12,1,0.2,10700
user_13,movie_100,5,1.0,10796
user_72,movie_423,5,1.0,10864
user_85,movie_318,4,0.8,10895
user_48,movie_423,4,0.8,10909
user_389,movie_124,4,0.8,10964
user_360,movie_197,5,1.0,11004
user_316,movie_190,5,1.0,11005
user_108,movie_515,5,1.0,11061
user_392,movie_302,5,1.0,11078
user_60,movie_511,4,0.8,11094
user_7,movie_483,4,0.8,11112
user_308,movie_12,5,1.0,11261
user_254,movie_199,4,0.8,11278
user_360,movie_302,4,0.8,11314
user_7,movie_484,5,1.0,11340
user_390,movie_124,4,0.8,11446
user_60,movie_132,4,0.8,11485
user_48,movie_511,5,1.0,11526
user_382,movie_474,5,1.0,11529
user_87,movie_64,5,1.0,11546
user_14,movie_603,4,0.8,11564
user_313,movie_515,5,1.0,11612
user_237,movie_423,4,0.8,11673
user_6,movie_483,5,1.0,11805
user_266,movie_124,4,0.8,11906
user_72,movie_480,5,1.0,11958
user_72,movie_100,5,1.0,11992
user_82,movie_479,4,0.8,12068
user_47,movie_302,5,1.0,12115
user_2,movie_316,5,1.0,12151
user_48,movie_427,4,0.8,12156
user_308,movie_199,4,0.8,12166
user_91,movie_64,4,0.8,12179
user_313,movie_423,4,0.8,12205
user_146,movie_302,4,0.8,12227
user_87,movie_515,4,0.8,12269
user_308,movie_498,5,1.0,12323
user_131,movie_302,5,1.0,12420
user_383,movie_474,5,1.0,12441
user_237,movie_199,4,0.8,12480
user_313,movie_199,4,0.8,12520
user_328,movie_515,5,1.0,12527
user_321,movie_199,4,0.8,12568
user_48,movie_132,5,1.0,12597
user_296,movie_124,5,1.0,12701
user_6,movie_423,3,0.6,12769
user_406,movie_479,4,0.8,12777
user_171,movie_302,4,0.8,12794
user_313,movie_64,4,0.8,12852
user_298,movie_197,4,0.8,12870
user_401,movie_199,3,0.6,12910
user_192,movie_302,5,1.0,12918
user_379,movie_480,5,1.0,12919
user_91,movie_484,4,0.8,12934
user_237,movie_513,5,1.0,12980
user_343,movie_654,5,1.0,13009
user_138,movie_519,5,1.0,13012
user_370,movie_12,4,0.8,13040
user_313,movie_134,5,1.0,13224
user_389,movie_100,5,1.0,13225
user_328,movie_423,4,0.8,13269
user_60,movie_197,4,0.8,13300
user_389,movie_479,4,0.8,13324
user_328,movie_480,3,0.6,13368
user_197,movie_190,3,0.6,13426
user_379,movie_50,4,0.8,13478
user_409,movie_50,5,1.0,13497
user_392,movie_285,3,0.6,13551
user_185,movie_285,5,1.0,13558
user_6,movie_124,5,1.0,13593
user_401,movie_519,4,0.8,13687
user_406,movie_318,5,1.0,13715
user_308,movie_64,4,0.8,13725
user_343,movie_199,5,1.0,13796
user_136,movie_100,5,1.0,13865
user_212,movie_197,5,1.0,13878
user_232,movie_318,5,1.0,13902
user_370,movie_511,4,0.8,13946
user_409,movie_197,3,0.6,14079
user_204,movie_302,5,1.0,14270
user_263,movie_64,5,1.0,14354
user_409,movie_199,4,0.8,14552
user_390,movie_100,5,1.0,14601
user_163,movie_318,4,0.8,14636
user_383,movie_603,5,1.0,14697
user_312,movie_474,5,1.0,14762
user_413,movie_124,5,1.0,14829
user_321,movie_484,5,1.0,14863
user_72,movie_484,4,0.8,14904
user_144,movie_197,4,0.8,14909
user_271,movie_64,5,1.0,14914
user_168,movie_100,4,0.8,14928
user_202,movie_484,4,0.8,14967
user_13,movie_483,5,1.0,14968
user_13,movie_423,5,1.0,15094
user_312,movie_513,5,1.0,15112
user_406,movie_12,4,0.8,15260
user_232,movie_515,2,0.4,15294
user_172,movie_178,3,0.6,15306
user_312,movie_190,5,1.0,15405
user_7,movie_190,5,1.0,15414
user_212,movie_427,4,0.8,15555
user_308,movie_197,3,0.6,15576
user_72,movie_479,4,0.8,15661
user_383,movie_513,5,1.0,15733
user_308,movie_124,4,0.8,15913
user_316,movie_318,5,1.0,15931
user_313,movie_498,5,1.0,15952
user_401,movie_654,3,0.6,15993
user_343,movie_132,5,1.0,16057
user_343,movie_498,5,1.0,16063
user_91,movie_318,5,1.0,16130
user_401,movie_603,4,0.8,16132
user_308,movie_100,5,1.0,16139
user_6,movie_511,5,1.0,16154
user_13,movie_519,5,1.0,16176
user_91,movie_134,4,0.8,16188
user_263,movie_423,5,1.0,16281
user_426,movie_480,5,1.0,16357
user_321,movie_515,5,1.0,16364
user_298,movie_178,5,1.0,16376
user_340,movie_423,4,0.8,16404
user_10,movie_132,5,1.0,16431
user_426,movie_603,5,1.0,16455
user_123,movie_480,3,0.6,16483
user_401,movie_50,1,0.2,16486
user_263,movie_483,5,1.0,16552
user_252,movie_100,5,1.0,16580
user_197,movie_316,4,0.8,16655
user_237,movie_603,5,1.0,16660
user_10,movie_199,4,0.8,16779
user_59,movie_50,5,1.0,16786
user_318,movie_285,4,0.8,16829
user_60,movie_64,4,0.8,16851
user_234,movie_484,5,1.0,16875
user_121,movie_515,4,0.8,16918
user_316,movie_132,4,0.8,16988
user_343,movie_124,4,0.8,17011
user_234,movie_483,5,1.0,17025
user_14,movie_50,5,1.0,17105
user_409,movie_480,5,1.0,17143
user_406,movie_199,5,1.0,17218
user_232,movie_474,5,1.0,17235
user_144,movie_190,5,1.0,17242
user_389,movie_498,5,1.0,17252
user_10,movie_483,5,1.0,17294
user_328,movie_511,4,0.8,17302
user_427,movie_302,4,0.8,17332
user_329,movie_12,4,0.8,17366
user_326,movie_479,5,1.0,17370
user_263,movie_661,5,1.0,17421
user_10,movie_603,5,1.0,17473
user_409,movie_479,5,1.0,17485
user_90,movie_483,5,1.0,17504
user_329,movie_483,4,0.8,17604
user_296,movie_134,5,1.0,17605
user_328,movie_199,4,0.8,17606
user_325,movie_197,4,0.8,17619
user_234,movie_654,5,1.0,17636
user_136,movie_515,5,1.0,17649
user_123,movie_132,3,0.6,17672
user_91,movie_515,5,1.0,17695
user_85,movie_479,4,0.8,17730
user_321,movie_100,4,0.8,17737
user_172,movie_483,3,0.6,17768
user_234,movie_427,4,0.8,17875
user_29,movie_302,4,0.8,17894
user_308,movie_484,3,0.6,17966
user_59,movie_427,5,1.0,18038
user_6,movie_318,4,0.8,18074
user_326,movie_197,1,0.2,18126
user_401,movie_100,4,0.8,18132
user_379,movie_199,4,0.8,18209
user_185,movie_515,4,0.8,18280
user_7,movie_480,4,0.8,18293
user_138,movie_318,5,1.0,18307
user_59,movie_513,4,0.8,18433
user_406,movie_50,5,1.0,18446
user_90,movie_318,5,1.0,18454
user_254,movie_132,4,0.8,18548
user_82,movie_199,4,0.8,18556
user_97,movie_661,5,1.0,18627
user_409,movie_654,3,0.6,18635
user_271,movie_423,4,0.8,18651
user_325,movie_100,4,0.8,18758
user_328,movie_474,4,0.8,18761
user_85,movie_511,4,0.8,18822
user_444,movie_50,5,1.0,18858
user_195,movie_132,5,1.0,18868
user_326,movie_603,4,0.8,19103
user_392,movie_511,5,1.0,19109
user_395,movie_64,5,1.0,19162
user_82,movie_513,4,0.8,19222
user_60,movie_199,5,1.0,19261
user_14,movie_285,5,1.0,19274
user_6,movie_100,5,1.0,19304
user_343,movie_100,5,1.0,19343
user_420,movie_302,4,0.8,19369
user_383,movie_483,5,1.0,19539
user_325,movie_483,5,1.0,19589
user_82,movie_519,4,0.8,19599
user_401,movie_661,3,0.6,19657
user_454,movie_484,3,0.6,19667
user_6,movie_480,4,0.8,19694
user_59,movie_511,5,1.0,19707
user_7,movie_515,3,0.6,19721
user_360,movie_423,4,0.8,19729
user_158,movie_124,4,0.8,19748
user_379,movie_603,5,1.0,19757
user_406,movie_511,5,1.0,19771
user_383,movie_197,5,1.0,19789
user_438,movie_50,5,1.0,19941
user_10,movie_474,4,0.8,19950
user_131,movie_285,5,1.0,19981
user_321,movie_190,4,0.8,20018
user_59,movie_64,5,1.0,20052
user_298,movie_511,4,0.8,20093
user_90,movie_515,5,1.0,20143
user_454,movie_479,4,0.8,20180
user_426,movie_199,5,1.0,20308
user_458,movie_318,4,0.8,20465
user_383,movie_302,4,0.8,20511
user_87,movie_132,5,1.0,20599
user_85,movie_190,4,0.8,20703
user_390,movie_515,4,0.8,20744
user_121,movie_124,5,1.0,20796
user_383,movie_427,5,1.0,20840
user_131,movie_124,5,1.0,20905
user_85,movie_654,4,0.8,21021
user_406,movie_515,2,0.4,21029
user_469,movie_513,5,1.0,21139
user_329,movie_197,4,0.8,21150
user_90,movie_474,5,1.0,21191
user_389,movie_64,4,0.8,21261
user_343,movie_427,5,1.0,21263
user_234,movie_285,4,0.8,21282
user_389,movie_50,5,1.0,21283
user_474,movie_480,5,1.0,21314
user_202,movie_423,3,0.6,21387
user_458,movie_178,4,0.8,21388
user_26,movie_316,3,0.6,21400
user_316,movie_199,3,0.6,21475
user_389,movie_484,5,1.0,21484
user_227,movie_124,4,0.8,21543
user_72,movie_318,5,1.0,21634
user_273,movie_316,4,0.8,21646
user_418,movie_302,2,0.4,21664
user_474,movie_661,4,0.8,21736
user_480,movie_190,5,1.0,21741
user_379,movie_100,5,1.0,21801
user_313,movie_474,5,1.0,21839
user_254,movie_498,4,0.8,21871
user_392,movie_199,5,1.0,21896
user_48,movie_483,5,1.0,22023
user_87,movie_100,5,1.0,22030
user_60,movie_661,4,0.8,22053
user_474,movie_134,4,0.8,22147
user_188,movie_483,5,1.0,22210
user_157,movie_50,4,0.8,22264
user_20,movie_498,3,0.6,22291
user_263,movie_100,5,1.0,22322
user_65,movie_50,5,1.0,22354
user_474,movie_484,5,1.0,22417
user_212,movie_199,5,1.0,22512
user_169,movie_498,3,0.6,22527
user_106,movie_12,4,0.8,22565
user_481,movie_318,1,0.2,22574
user_271,movie_479,4,0.8,22598
user_72,movie_134,5,1.0,22652
user_14,movie_12,5,1.0,22668
user_379,movie_12,5,1.0,22689
user_474,movie_100,5,1.0,22705
user_469,movie_484,5,1.0,22708
user_463,movie_100,4,0.8,22725
user_474,movie_474,5,1.0,22743
user_10,movie_50,5,1.0,22751
